state,YEAR,total,population
Australian Capital Territory,1993,7703,300490
New South Wales,1993,166039,6020171
Northern Territory ,1993,4771,173590
Queensland,1993,98090,3130986
South Australia,1993,57136,1461102
Tasmania,1993,13649,472983
Victoria,1993,114409,4466738
Western Australia,1993,72327,1690348
Australian Capital Territory,1994,6974,303289
New South Wales,1994,185379,6071872
Northern Territory ,1994,5597,176761
Queensland,1994,96296,3198877
South Australia,1994,49903,1463977
Tasmania,1994,15431,474076
Victoria,1994,105505,4483205
Western Australia,1994,76567,1718549
Australian Capital Territory,1995,23335,307022
New South Wales,1995,510442,6143971
Northern Territory ,1995,22296,182829
Queensland,1995,245436,3271743
South Australia,1995,140117,1466605
Tasmania,1995,38552,475148
Victoria,1995,289388,4517353
Western Australia,1995,230789,1751933
Australian Capital Territory,1996,21965,310655
New South Wales,1996,581840,6214548
Northern Territory ,1996,22248,187342
Queensland,1996,258864,3330579
South Australia,1996,135036,1471997
Tasmania,1996,42834,475529
Victoria,1996,296836,4552904
Western Australia,1996,217835,1783556
Australian Capital Territory,1997,26601,310281
New South Wales,1997,636772,6274966
Northern Territory ,1997,20739,191259
Queensland,1997,268129,3380394
South Australia,1997,128494,1479003
Tasmania,1997,46242,474215
Victoria,1997,307046,4586156
Western Australia,1997,223814,1810928
Australian Capital Territory,1998,26601,312300
New South Wales,1998,663774,6338790
Northern Territory ,1998,20787,194390
Queensland,1998,271433,3427505
South Australia,1998,150794,1487042
Tasmania,1998,48356,473450
Victoria,1998,306018,4629345
Western Australia,1998,235017,1840078
Australian Capital Territory,1999,31911,315431
New South Wales,1999,643831,6409971
Northern Territory ,1999,19749,197757
Queensland,1999,280842,3481034
South Australia,1999,160382,1495218
Tasmania,1999,44062,473294
Victoria,1999,330523,4677581
Western Australia,1999,223401,1866265
Australian Capital Territory,2000,32285,318941
New South Wales,2000,707068,6485081
Northern Territory ,2000,22308,200045
Queensland,2000,217269,3537670
South Australia,2000,138961,1500129
Tasmania,2000,39660,473200
Victoria,2000,352252,4730855
Western Australia,2000,241963,1892531
Australian Capital Territory,2001,27008,322874
New South Wales,2001,719298,6558484
Northern Territory ,2001,25396,201751
Queensland,2001,291564,3611203
South Australia,2001,183316,1507825
Tasmania,2001,39468,473890
Victoria,2001,365450,4790212
Western Australia,2001,248825,1917752
Australian Capital Territory,2002,27118,325950
New South Wales,2002,646845,6599441
Northern Territory ,2002,24332,201549
Queensland,2002,278778,3700791
South Australia,2002,178150,1515723
Tasmania,2002,35044,475998
Victoria,2002,324113,4845024
Western Australia,2002,252720,1938610
Australian Capital Territory,2003,26515,327596
New South Wales,2003,595156,6634509
Northern Territory ,2003,20106,201708
Queensland,2003,259189,3788560
