State,Offence,Year,Case,Population
New South Wales,Homicide and related offences,1995,167,6143971
New South Wales,Homicide and related offences,1996,198,6214548
New South Wales,Homicide and related offences,1997,221,6274966
New South Wales,Homicide and related offences,1998,239,6338790
New South Wales,Homicide and related offences,1999,267,6409971
New South Wales,Homicide and related offences,2000,262,6485081
New South Wales,Homicide and related offences,2001,313,6558484
New South Wales,Homicide and related offences,2002,256,6599441
New South Wales,Homicide and related offences,2003,233,6634509
New South Wales,Homicide and related offences,2004,149,6669206
New South Wales,Homicide and related offences,2005,153,6718023
New South Wales,Homicide and related offences,2006,176,6786160
New South Wales,Homicide and related offences,2007,162,6883852
New South Wales,Homicide and related offences,2008,153,7001782
New South Wales,Homicide and related offences,2009,143,7101504
New South Wales,Homicide and related offences,2010,133,7179891
New South Wales,Homicide and related offences,2011,153,7258722
New South Wales,Homicide and related offences,2012,107,7353189
New South Wales,Homicide and related offences,2013,131,7454938
New South Wales,Homicide and related offences,2014,107,7562171
New South Wales,Homicide and related offences,2015,104,7671401
New South Wales,Homicide and related offences,2016,100,7795625
New South Wales,Homicide and related offences,2017,77,7900946
New South Wales,Homicide and related offences,2018,102,8003564
New South Wales,Homicide and related offences,2019,116,8088361
New South Wales,Homicide and related offences,2020,99,8094300
New South Wales,Homicide and related offences,2021,81,8117057
New South Wales,Homicide and related offences,2022,79,8264048
New South Wales,Homicide and related offences,2023,79,8437334
New South Wales,Homicide and related offences,2024,124,8541186
New South Wales,Kidnapping/abduction,1995,171,6143971
New South Wales,Kidnapping/abduction,1996,213,6214548
New South Wales,Kidnapping/abduction,1997,273,6274966
New South Wales,Kidnapping/abduction,1998,379,6338790
New South Wales,Kidnapping/abduction,1999,447,6409971
New South Wales,Kidnapping/abduction,2000,385,6485081
New South Wales,Kidnapping/abduction,2001,470,6558484
New South Wales,Kidnapping/abduction,2002,435,6599441
New South Wales,Kidnapping/abduction,2003,421,6634509
New South Wales,Kidnapping/abduction,2004,467,6669206
New South Wales,Kidnapping/abduction,2005,462,6718023
New South Wales,Kidnapping/abduction,2006,450,6786160
New South Wales,Kidnapping/abduction,2007,446,6883852
New South Wales,Kidnapping/abduction,2008,541,7001782
New South Wales,Kidnapping/abduction,2009,381,7101504
New South Wales,Kidnapping/abduction,2010,329,7179891
New South Wales,Kidnapping/abduction,2011,409,7258722
New South Wales,Kidnapping/abduction,2012,348,7353189
New South Wales,Kidnapping/abduction,2013,305,7454938
New South Wales,Kidnapping/abduction,2014,305,7562171
New South Wales,Kidnapping/abduction,2015,257,7671401
New South Wales,Kidnapping/abduction,2016,267,7795625
